"pdes","name","H","a","e","i","om","w","ma"
7977,,15.15,2.226,0.4662,25.17,134.12,248.10,172.08
8013,Gordonmoore,17.09,2.2,0.4321,7.60,105.34,147.40,311.25
8014,,18.88,1.748,0.4560,1.87,209.82,114.77,102.14
8034,Akka,18.02,1.831,0.4091,2.02,232.79,68.30,164.13
8035,,17.12,1.342,0.4624,28.31,185.61,6.11,267.31
8037,,16.63,1.986,0.4177,5.91,22.37,105.76,272.14
8176,,17.01,1.575,0.6432,39.59,66.50,241.89,100.30
8201,,15.94,2.54,0.7061,9.54,164.08,25.11,297.03
8507,,17.21,1.687,0.5948,14.60,317.36,345.84,189.19
8566,,16.47,1.506,0.4304,37.98,164.09,125.16,303.34
8567,,15.36,2.046,0.4491,8.45,177.09,177.28,314.32
8709,Kadlu,17.07,2.521,0.4945,3.54,118.94,154.03,280.47
9058,,17.81,1.557,0.3597,16.09,218.28,307.12,127.78
9162,Kwiila,18.01,1.497,0.5955,9.01,179.98,235.85,292.60
9172,Abhramu,16.64,2.71,0.5528,7.84,287.57,74.19,46.77
9202,,16.10,1.424,0.6078,40.80,315.89,212.36,97.11
9400,,14.84,2.588,0.5807,35.98,3.35,62.17,145.88
9856,,17.11,2.243,0.6258,9.83,168.10,116.20,72.00
9950,ESA,16.21,2.439,0.5329,14.59,253.44,103.60,74.58
10115,,17.10,1.249,0.3249,15.32,8.87,233.74,7.08
10145,,17.00,1.9,0.6326,4.55,328.37,27.44,138.92
10150,,15.45,2.374,0.5443,45.96,112.97,233.99,175.54
10165,,17.36,1.235,0.5039,23.90,312.42,348.47,19.09
10302,,19.45,1.273,0.1369,4.38,104.27,183.63,121.51
10563,Izhdubar,16.94,1.007,0.2662,63.47,56.56,132.19,137.07
10636,,17.70,1.885,0.5128,13.57,172.92,286.34,151.61
10860,,17.02,2.577,0.5752,4.14,257.16,75.52,111.58
11054,,17.07,1.979,0.4465,3.08,339.03,92.39,215.61
11066,Sigurd,15.17,1.392,0.3754,36.88,349.22,22.02,315.33
11284,Belenus,18.25,1.74,0.3374,1.99,311.70,171.17,216.10
11311,Peleus,15.74,2.116,0.5358,25.49,59.32,313.43,154.58
11398,,16.38,1.721,0.3891,15.02,144.71,74.77,281.68
11405,,15.22,1.46,0.3938,22.86,141.22,96.45,17.42
11500,Tomaiyowit,18.36,1.08,0.3558,10.31,234.38,289.52,314.93
11885,Summanus,18.52,1.703,0.4745,19.43,359.76,116.23,236.65
12538,,15.96,1.542,0.4059,24.54,220.69,321.79,163.01
12711,Tukmit,16.04,1.186,0.2721,38.49,294.96,322.89,236.40
