"pdes","name","H","a","e","i","om","w","ma"
"2019 TV1",,26.00,1.096,0.0788,16.76,17.36,304.27,166.39
"2019 TW1",,27.92,1.814,0.5143,8.09,14.95,49.24,166.94
"2019 TY1",,26.01,1.65,0.3659,8.30,182.39,190.72,356.04
"2019 TZ1",,24.00,1.602,0.3517,4.06,136.85,278.62,348.26
"2019 TA2",,24.94,0.9438,0.2094,9.50,28.34,127.05,119.70
"2019 TB2",,20.70,2.135,0.4349,4.97,341.83,322.48,6.61
"2019 TC2",,27.90,1.282,0.3580,8.50,187.12,108.00,118.78
"2019 TE2",,25.50,2.336,0.5908,4.02,26.60,29.34,248.07
"2019 TF2",,26.30,1.043,0.0797,2.41,171.36,300.27,180.89
"2019 TG2",,24.00,1.36,0.3148,29.13,10.50,301.78,31.00
"2019 TH2",,26.50,1.857,0.4607,7.81,15.86,22.57,142.47
"2019 TL2",,24.40,1.391,0.2073,9.04,169.84,215.37,255.78
"2019 TM2",,24.20,1.344,0.2395,2.16,64.82,335.24,319.24
"2019 TN2",,23.12,1.194,0.1362,29.55,195.38,125.73,43.57
"2019 TQ2",,24.80,2.866,0.6736,8.45,22.92,44.66,84.99
"2019 TR2",,23.40,2.142,0.6043,12.69,24.52,62.73,324.37
"2019 TS2",,25.59,1.696,0.3779,8.66,180.00,204.62,273.55
"2019 TT2",,26.80,2.321,0.5745,2.14,15.88,330.96,269.48
"2019 TU2",,26.40,1.324,0.3355,2.69,171.34,126.93,39.34
"2019 TV2",,23.15,2.331,0.5771,6.02,45.02,293.46,267.91
"2019 TE3",,25.50,0.838,0.2348,23.12,11.87,169.37,191.28
"2019 TF3",,28.00,0.8135,0.2650,3.65,14.76,157.32,338.53
"2019 TK3",,19.35,2.17,0.6787,37.23,50.31,237.30,354.42
"2019 TL3",,24.90,1.782,0.4437,21.29,13.36,25.56,197.60
"2019 TM3",,27.60,1.05,0.1634,17.01,194.24,263.46,182.67
"2019 TO3",,24.57,1.738,0.4278,11.78,203.61,212.27,344.72
"2019 TP3",,26.40,1.559,0.3693,11.36,10.39,332.43,14.23
"2019 TQ3",,25.90,1.916,0.6390,9.40,192.11,266.29,340.29
"2019 TV3",,23.20,2.129,0.4759,3.79,157.07,247.70,351.97
"2019 TW3",,22.60,2.097,0.4342,6.05,90.03,285.74,7.11
"2019 TA4",,20.34,2.341,0.6837,27.45,208.83,78.19,273.32
"2019 TB4",,24.12,1.38,0.1934,15.19,199.51,156.31,290.93
"2019 TC4",,23.41,1.299,0.1559,22.35,205.22,215.63,14.95
"2019 TJ4",,20.70,2.173,0.4630,7.17,106.58,219.92,351.23
"2019 TK4",,21.00,2.721,0.5318,30.65,200.06,174.89,133.67
"2019 TL4",,19.10,3.028,0.6806,15.93,220.46,263.98,32.41
"2019 TM4",,24.00,2.509,0.6010,18.15,8.24,329.79,8.73
"2019 TN4",,23.20,1.382,0.2570,2.74,224.15,54.00,69.43
"2019 TO4",,24.10,2.243,0.4457,11.51,208.47,155.71,3.39
"2019 TP4",,26.40,1.339,0.2691,6.06,10.06,312.29,30.08
"2019 TQ4",,20.98,1.041,0.4060,43.94,210.80,317.03,161.95
"2019 TR4",,26.91,1.193,0.1838,4.48,199.64,120.72,45.58
"2019 TS4",,22.49,2.465,0.5751,4.88,248.69,150.10,206.29
"2019 TZ4",,19.45,2.686,0.5369,25.00,356.60,80.14,132.82
"2019 TD5",,24.90,1.672,0.2650,4.68,228.76,134.36,6.60
"2019 TG5",,20.84,1.755,0.2992,16.07,205.06,99.18,275.41
"2019 TH5",,24.70,1.297,0.2182,19.08,12.33,51.48,327.92
"2019 TJ5",,26.70,2.601,0.6483,2.69,18.80,316.69,171.26
"2019 TK5",,27.46,1.021,0.2003,1.50,214.81,264.70,254.88
"2019 TN5",,28.30,2.348,0.6172,0.80,190.80,138.66,261.14
"2019 TO5",,24.92,1.349,0.2597,35.73,13.61,308.41,30.95
"2019 TP5",,25.20,1.896,0.6626,8.79,204.99,262.14,339.16
"2019 TS5",,25.10,1.38,0.4003,12.38,13.42,275.11,42.40
"2019 TU5",,24.60,2.527,0.7377,8.36,353.63,297.39,12.36
"2019 TV5",,25.40,1.463,0.4591,22.32,193.92,97.58,34.90
"2019 TZ5",,22.00,1.775,0.2939,17.52,197.76,149.56,234.49
"2019 TA6",,23.93,1.541,0.2937,20.20,189.01,189.55,360.00
"2019 TG6",,21.48,1.563,0.2739,6.43,304.62,185.48,321.96
"2019 TJ6",,24.28,1.949,0.4468,10.08,201.77,147.77,99.47
"2019 TK6",,22.64,1.169,0.4256,4.62,191.77,314.12,230.18
"2019 TL6",,22.59,0.8107,0.5083,25.32,203.64,344.58,344.41
"2019 TM6",,20.50,2.23,0.6106,7.88,317.96,160.04,342.31
"2019 TO6",,28.70,1.639,0.3884,1.35,202.41,156.49,6.80
"2019 TP6",,22.73,2.142,0.4210,12.30,23.37,348.07,347.07
"2019 TQ6",,23.40,2.123,0.5152,20.14,18.60,50.74,345.52
"2019 TR6",,24.90,2.057,0.5150,8.77,199.64,143.02,10.93
"2019 TV6",,25.60,2.517,0.6192,1.97,18.12,44.51,350.11
"2019 TW6",,26.60,1.098,0.1126,9.05,199.67,243.95,60.03
"2019 TX6",,22.40,1.513,0.3634,4.02,203.70,253.12,67.07
"2019 TY6",,25.04,1.313,0.2436,24.46,13.53,301.83,45.25
"2019 TZ6",,27.70,1.009,0.3530,10.79,17.27,109.94,304.33
"2019 TA7",,26.30,0.7558,0.4538,4.03,13.25,159.20,347.34
"2019 TB7",,26.80,0.8943,0.1309,10.00,18.58,191.58,246.97
"2019 TF7",,17.92,2.722,0.5802,22.28,280.57,54.26,155.33
"2019 TG7",,26.00,2.047,0.5042,5.68,215.63,185.79,352.68
"2019 TH7",,20.70,2.32,0.5148,4.47,192.57,264.41,244.14
"2019 TM7",,23.90,1.861,0.7377,8.41,32.58,94.51,338.68
"2019 TR7",,21.00,2.24,0.4197,23.87,40.77,36.07,281.94
"2019 TS7",,25.30,1.35,0.2648,28.56,192.78,220.43,337.42
"2019 TT7",,22.50,2.233,0.4372,4.86,131.09,232.56,7.90
"2019 TB8",,21.40,1.902,0.5275,11.74,350.64,345.72,132.45
"2019 TD8",,24.50,2.318,0.5457,7.26,161.02,184.28,272.29
"2019 TV33",,21.67,1.748,0.2965,7.71,128.88,309.84,209.25
"2019 UB",,23.20,2.14,0.5597,23.83,207.47,145.01,8.36
"2019 UC",,24.12,1.494,0.4083,2.69,205.82,241.10,93.80
"2019 UD",,26.94,0.8825,0.1647,1.68,28.06,161.07,322.55
"2019 UG",,28.10,1.516,0.4573,0.33,224.04,96.70,119.68
"2019 UH",,25.70,1.652,0.4222,19.94,208.83,214.96,297.17
"2019 UJ",,26.90,1.169,0.2359,22.71,205.60,248.37,248.58
"2019 UK",,21.64,0.8828,0.3840,21.70,206.39,318.83,359.64
"2019 UL",,29.10,0.8329,0.2067,1.35,17.39,197.41,170.29
"2019 UN",,24.90,2.787,0.6339,3.93,0.11,348.93,116.91
"2019 UO",,20.03,2.653,0.6380,5.70,277.59,184.99,130.22
"2019 UP",,26.09,2.355,0.5677,4.96,24.63,344.46,4.54
"2019 UQ",,26.20,1.847,0.5578,5.72,210.32,240.02,341.81
"2019 UR",,26.61,1.433,0.2833,7.05,207.81,156.36,209.16
"2019 US",,26.62,1.209,0.2596,2.75,209.24,106.36,252.78
"2019 UT",,28.00,2.007,0.5563,3.47,211.84,222.27,347.54
"2019 UU",,26.50,1.216,0.2556,11.38,207.39,112.98,40.78
"2019 UV",,26.10,0.8996,0.1709,22.70,22.53,207.60,195.04
"2019 UW",,26.00,1.478,0.2832,20.29,205.69,196.21,351.07
"2019 UX",,26.07,1.085,0.2547,2.45,356.80,288.78,71.28
"2019 UY",,26.20,1.267,0.1824,21.04,206.91,159.61,12.89
"2019 UZ",,27.80,0.8805,0.3469,7.52,207.89,312.15,33.52
"2019 UA1",,26.04,1.593,0.3545,15.81,22.06,349.50,7.32
"2019 UB1",,26.05,1.934,0.4732,3.01,195.32,193.73,93.99
"2019 UC1",,25.33,1.364,0.2625,4.43,217.80,108.42,331.91
"2019 UE1",,25.90,1.939,0.4833,3.70,208.70,200.93,83.78
"2019 UF1",,25.80,2.613,0.7112,1.46,246.23,207.31,349.73
"2019 UG1",,26.14,2.53,0.6035,7.58,30.41,5.33,183.45
"2019 UH1",,24.11,2.093,0.5457,5.57,243.46,190.69,350.42
"2019 UJ1",,27.70,1.923,0.5520,1.91,198.99,242.97,344.89
"2019 UL1",,25.60,1.301,0.2218,25.47,21.00,330.10,20.96
"2019 UM1",,25.94,2.059,0.5076,6.98,17.41,345.70,6.38
"2019 UN1",,23.24,0.8511,0.4290,20.82,215.70,344.89,96.67
"2019 UO1",,25.21,1.098,0.0256,2.77,218.91,336.22,294.91
"2019 UP1",,25.30,1.638,0.4324,19.18,208.71,123.49,21.74
"2019 UQ1",,25.80,2.558,0.5702,4.66,209.41,164.73,2.60
"2019 UR1",,25.80,0.9258,0.2544,11.23,208.92,41.92,52.46
"2019 US1",,24.10,1.481,0.3464,18.06,212.89,102.36,37.98
"2019 UT1",,27.70,1.15,0.3083,5.36,207.81,268.37,304.61
"2019 UU1",,30.40,1.029,0.2311,1.13,23.72,265.13,10.17
"2019 UX1",,24.09,0.9692,0.2426,14.06,205.86,67.79,221.32
"2019 UY1",,23.91,0.8981,0.2643,6.05,47.53,199.02,172.13
"2019 UZ1",,23.63,2.328,0.5234,1.89,345.84,10.16,264.02
"2019 UA2",,26.90,2.389,0.5774,8.32,207.46,194.83,356.46
"2019 UB2",,25.80,2.498,0.5983,1.27,32.27,24.15,355.10
"2019 UC2",,26.80,1.935,0.4656,6.88,208.97,189.09,357.51
"2019 UD2",,26.63,1.88,0.4741,4.57,35.41,22.20,350.25
"2019 UG2",,24.30,0.9106,0.2032,23.72,21.50,208.35,142.96
"2019 UH2",,21.20,1.907,0.4527,35.00,203.34,233.16,90.01
"2019 UJ2",,19.42,2.469,0.5048,30.26,215.87,236.04,183.84
"2019 UK2",,27.80,1.542,0.3847,3.87,19.33,329.92,17.29
"2019 UL2",,24.84,1.241,0.2596,4.52,197.33,263.28,100.29
"2019 UM2",,28.40,1.402,0.2741,2.62,202.15,196.24,230.18
"2019 UN2",,25.08,1.177,0.2318,6.55,23.77,83.41,220.58
"2019 UO2",,25.80,0.8533,0.2621,23.08,205.80,31.16,29.61
"2019 UP2",,23.80,1.911,0.3776,4.19,263.38,120.15,1.11
"2019 UQ2",,24.40,2.668,0.5910,16.51,22.08,7.92,359.08
"2019 UR2",,22.13,2.441,0.6502,10.45,228.77,231.14,199.52
"2019 US2",,23.40,1.194,0.1839,28.27,18.55,268.44,74.11
"2019 UT2",,24.60,1.383,0.2877,26.72,25.88,295.86,37.64
"2019 UU2",,26.60,1.712,0.4895,12.97,21.46,307.17,278.43
"2019 UV2",,23.50,1.548,0.2420,15.88,35.16,309.17,28.09
"2019 UW2",,22.34,1.685,0.4154,37.91,23.69,80.49,326.71
"2019 UX2",,25.32,1.633,0.4600,23.74,210.15,119.26,21.90
"2019 UA3",,26.17,1.778,0.4839,5.70,198.22,137.22,221.35
"2019 UC3",,23.55,1.914,0.5711,12.85,208.15,266.59,80.13
"2019 UD3",,25.80,1.989,0.5565,7.21,214.34,223.64,47.54
"2019 UE3",,23.95,1.869,0.4458,16.08,28.64,346.04,5.26
"2019 UF3",,24.44,1.361,0.2296,21.53,25.36,15.29,351.25
"2019 UG3",,29.20,1.322,0.2696,2.23,211.88,142.35,20.97
"2019 UH3",,25.80,1.852,0.4813,4.10,230.38,202.04,135.51
"2019 UJ3",,25.95,1.038,0.3018,1.05,303.16,193.86,197.65
"2019 UK3",,26.72,1.533,0.3474,2.84,222.61,144.45,83.72
"2019 UL3",,28.30,1.612,0.4257,0.41,9.69,336.15,6.02
"2019 UM3",,26.55,2.246,0.5547,7.29,215.00,149.91,5.82
"2019 UN3",,24.39,0.9837,0.2032,32.18,24.49,119.55,265.33
"2019 UT3",,25.34,1.43,0.2751,5.33,7.71,52.54,181.92
"2019 UU3",,25.50,2.452,0.6220,14.19,216.28,224.27,349.22
"2019 UV3",,20.02,2.175,0.4304,17.74,249.32,201.57,292.04
"2019 UW3",,24.40,1.301,0.1070,21.69,18.80,357.17,9.36
"2019 UX3",,26.80,1.76,0.4353,0.85,255.71,93.46,13.75
"2019 UY3",,23.93,1.577,0.3431,4.81,323.36,24.35,40.86
"2019 UZ3",,27.00,1.21,0.2899,5.68,213.82,101.44,247.57
"2019 UB4",,29.20,1.037,0.0963,0.92,27.65,286.51,336.11
"2019 UC4",,21.24,2.486,0.6450,8.60,249.61,203.71,181.47
"2019 UD4",,23.17,1.568,0.3475,3.34,310.42,39.89,49.57
"2019 UE4",,27.68,1.372,0.4151,1.14,209.87,107.66,314.07
"2019 UK4",,27.07,1.664,0.3727,4.30,21.84,353.01,6.32
"2019 UL4",,25.33,1.806,0.4552,8.77,225.59,208.27,166.39
"2019 UM4",,26.20,2.554,0.6031,9.05,218.11,190.02,172.20
"2019 UN4",,22.80,1.112,0.1351,20.81,220.18,41.50,189.33
"2019 UO4",,24.70,1.677,0.4049,18.23,214.35,127.20,20.23
"2019 UP4",,24.10,2.031,0.7219,4.76,232.44,57.91,18.81
"2019 UQ4",,28.00,1.147,0.1299,3.78,216.02,133.63,11.54
"2019 UR4",,26.90,1.056,0.1769,1.19,347.43,137.96,141.63
"2019 UU4",,24.70,1.288,0.1684,28.47,27.98,343.78,13.81
"2019 UC5",,26.50,1.653,0.3903,5.03,21.34,352.06,7.51
"2019 UD5",,23.70,1.464,0.2394,25.35,216.26,125.78,28.56
"2019 UE5",,22.48,2.287,0.5643,5.17,250.26,117.21,278.69
"2019 UF5",,25.60,1.244,0.3775,9.43,31.54,278.39,177.02
"2019 UG5",,22.04,1.869,0.4428,17.23,232.80,208.22,113.84
"2019 UH5",,27.30,1.352,0.2545,2.29,8.45,51.23,342.43
"2019 UK5",,26.20,1.302,0.3343,11.49,213.52,106.76,36.98
"2019 UL5",,27.66,1.261,0.2162,7.95,212.99,203.55,88.21
"2019 UO5",,25.60,0.9163,0.1405,20.41,32.16,171.91,162.26
"2019 UP5",,22.41,2.233,0.5264,9.33,201.45,154.64,303.36
"2019 UQ5",,24.88,1.215,0.1430,25.54,209.22,217.38,333.18
"2019 US5",,21.70,2.124,0.7115,8.87,297.13,344.40,19.95
"2019 UT5",,28.40,2.369,0.6422,4.71,30.75,306.64,11.00
"2019 UU5",,25.30,1.716,0.4066,9.36,205.20,195.67,355.69
"2019 UV5",,25.69,1.189,0.1767,21.62,212.51,249.77,306.41
"2019 UW5",,19.30,2.576,0.4974,7.49,193.16,135.97,194.74
"2019 UZ5",,24.40,2.168,0.7462,6.90,231.81,54.02,18.36
"2019 UA6",,20.89,1.551,0.1692,9.12,65.52,93.11,295.45
"2019 UB6",,28.40,1.048,0.2646,4.22,30.88,95.91,174.24
"2019 UC6",,25.20,1.734,0.4598,29.89,211.99,130.01,17.85
"2019 UH6",,24.70,1.635,0.4020,2.12,138.52,204.27,346.82
"2019 UJ6",,26.10,1.22,0.1980,13.08,212.55,209.78,162.21
"2019 UK6",,23.59,2.391,0.5733,5.35,246.36,162.97,226.60
"2019 UL6",,25.00,2.358,0.5450,9.97,24.78,33.26,352.70
"2019 UM6",,22.66,1.762,0.2705,17.42,206.23,205.04,205.97
"2019 UQ6",,25.72,1.113,0.3502,2.09,52.77,234.67,62.27
"2019 UR6",,26.43,1.422,0.2574,4.95,24.65,351.90,216.70
"2019 US6",,20.60,2.667,0.5204,12.13,256.91,148.77,132.72
"2019 UT6",,21.92,1.589,0.5049,2.40,84.82,44.46,335.67
"2019 UU6",,23.60,1.155,0.2033,40.40,37.23,92.07,248.74
"2019 UV6",,22.88,2.373,0.6080,0.99,281.94,63.16,246.84
"2019 UW6",,26.60,1.592,0.3877,16.65,31.09,31.42,358.15
"2019 UX6",,26.90,1.265,0.1980,6.91,31.44,6.47,93.34
"2019 UY6",,26.60,2.26,0.6489,0.77,233.75,90.14,13.06
"2019 UB7",,24.08,2.041,0.6580,2.07,303.50,179.92,340.26
"2019 UC7",,23.52,1.2,0.1741,19.20,31.81,82.33,157.46
"2019 UD7",,28.10,1.54,0.5110,2.70,28.01,79.50,36.63
"2019 UE7",,22.40,2.174,0.7005,6.92,225.84,63.61,23.23
"2019 UF7",,24.60,1.239,0.2997,5.85,30.97,281.29,194.56
"2019 UG7",,21.61,2.963,0.5958,6.05,220.43,238.37,55.32
"2019 UH7",,27.46,1.592,0.3700,6.22,32.27,22.67,1.88
"2019 UJ7",,24.60,1.691,0.3346,8.50,215.61,194.03,264.56
"2019 UO7",,27.60,1.263,0.2368,0.66,345.30,90.93,71.57
"2019 UP7",,25.60,1.858,0.4999,5.48,195.85,242.52,344.91
"2019 UQ7",,22.31,2.755,0.6604,28.83,33.82,330.52,5.08
"2019 UR7",,23.70,2.416,0.5473,4.87,143.82,212.19,229.90
"2019 UT7",,26.80,2.423,0.5984,5.91,33.86,335.66,224.18
"2019 UU7",,26.03,0.8089,0.3174,0.88,149.69,82.04,266.41
"2019 UV7",,21.73,1.805,0.2939,32.17,215.61,187.23,170.17
"2019 UW7",,27.30,2.187,0.5613,5.97,210.18,152.23,323.07
"2019 UX7",,24.36,1.335,0.2466,5.93,39.18,54.03,300.67
"2019 UY7",,27.40,1.158,0.3345,9.74,32.99,84.80,265.15
"2019 UZ7",,21.13,1.402,0.7397,35.94,46.56,216.24,279.10
"2019 UA8",,22.53,2.507,0.5048,8.32,242.64,176.79,181.58
"2019 UB8",,29.00,1.533,0.4482,0.21,54.87,39.19,47.39
"2019 UC8",,26.17,1.592,0.3192,14.05,32.73,348.54,4.74
"2019 UD8",,23.18,2.073,0.4793,3.57,227.08,236.21,344.00
"2019 UE8",,25.70,1.724,0.4315,0.38,0.95,75.59,228.79
"2019 UH8",,24.40,2.406,0.6220,4.30,12.10,323.75,11.29
"2019 UJ8",,24.80,2.804,0.6114,6.49,218.23,190.73,101.39
"2019 UK8",,24.88,1.536,0.3928,2.86,237.77,89.07,27.75
"2019 UL8",,26.34,1.495,0.4846,0.79,216.11,256.99,85.00
"2019 UM8",,28.40,1.244,0.2540,7.85,33.14,55.10,101.71
"2019 UN8",,29.70,2.58,0.7240,0.35,18.42,299.98,11.27
"2019 UO8",,29.30,2.191,0.7791,0.32,41.22,250.63,327.33
"2019 UP8",,27.10,1.845,0.4900,7.84,209.96,142.77,12.27
"2019 UQ8",,25.64,1.169,0.2838,8.69,27.45,280.29,344.83
"2019 UR8",,22.80,2.047,0.3741,2.50,300.70,43.68,45.29
"2019 UT8",,27.20,0.9184,0.5256,3.77,40.97,124.01,251.44
"2019 UU8",,24.40,2.544,0.5650,1.77,319.27,44.90,5.70
"2019 UV8",,23.41,2.388,0.4812,8.27,49.37,357.20,227.84
"2019 UW8",,25.30,1.467,0.6101,29.41,208.90,82.30,181.16
"2019 UX8",,25.07,1.297,0.1770,14.54,37.51,317.51,25.24
"2019 UY8",,24.96,0.869,0.4141,7.42,36.02,145.11,65.63
"2019 UC9",,23.78,1.5,0.3146,5.91,225.54,201.40,89.83
"2019 UF9",,28.10,1.255,0.3728,2.55,40.90,73.65,72.84
"2019 UG9",,24.64,2.411,0.5471,1.23,177.72,241.38,217.01
"2019 UH9",,25.15,1.559,0.6856,1.69,179.38,102.10,71.11
"2019 UJ9",,24.70,1.242,0.2126,11.89,215.00,229.88,323.80
"2019 UK9",,22.76,1.559,0.5292,4.56,119.51,166.10,40.14
"2019 UL9",,25.50,1.646,0.3240,5.53,41.91,358.17,311.89
"2019 UM9",,27.30,0.9861,0.1551,12.36,33.16,104.76,343.46
"2019 UN9",,24.45,1.741,0.3570,9.17,199.81,230.04,215.45
"2019 UO9",,19.78,1.913,0.5805,5.49,7.54,148.45,51.03
"2019 UP9",,23.90,3.188,0.6399,4.19,104.71,260.95,29.10
"2019 UT9",,18.55,2.298,0.6401,25.66,69.46,25.19,244.75
"2019 UU9",,24.04,1.22,0.1839,23.21,30.76,70.57,128.94
"2019 UV9",,25.70,1.758,0.4238,19.41,32.16,35.29,346.13
"2019 UX9",,22.43,2.693,0.6665,10.06,56.00,58.74,120.46
"2019 UY9",,20.43,2.491,0.7515,34.68,34.19,233.94,219.22
"2019 UC10",,22.40,2.804,0.5449,5.48,133.48,270.91,99.76
"2019 UD10",,28.20,2.279,0.5766,11.62,33.68,336.41,5.39
"2019 UJ10",,19.73,3.197,0.6012,12.57,90.21,3.94,3.63
"2019 UL10",,24.80,2.486,0.5478,2.52,18.12,38.05,191.86
"2019 UM10",,25.80,1.156,0.1008,14.10,31.89,52.60,318.52
"2019 UN10",,24.90,2.433,0.5494,11.13,214.92,186.82,357.81
"2019 UO10",,21.80,1.725,0.2929,29.96,28.80,99.86,300.67
"2019 US10",,20.68,1.453,0.3855,26.94,43.24,304.15,196.92
"2019 UY10",,22.01,1.235,0.1406,12.07,340.85,316.88,64.99
"2019 UZ10",,23.90,2.285,0.6169,6.02,178.48,152.97,13.01
"2019 UA11",,20.53,2.19,0.4376,6.24,220.59,69.55,6.77
"2019 UB11",,20.64,2.83,0.6228,5.16,265.63,157.05,91.07
"2019 UC11",,24.75,1.257,0.5634,3.63,19.11,268.49,43.38
"2019 UF11",,24.33,1.208,0.1391,12.47,49.10,9.57,187.77
"2019 UG11",,26.80,1.387,0.3926,5.30,38.45,62.99,225.29
"2019 UO11",,20.38,1.84,0.3137,47.80,54.14,294.90,177.70
"2019 UR11",,20.96,1.249,0.4695,12.68,72.08,219.02,176.76
"2019 UV11",,23.30,1.386,0.1896,11.85,240.52,191.85,227.75
"2019 UE12",,26.30,2.316,0.5533,1.43,170.66,211.14,263.00
"2019 UF12",,24.71,2.495,0.5677,5.77,72.86,348.49,187.67
"2019 UG12",,26.40,2.073,0.5740,7.29,35.05,49.17,358.49
"2019 UJ12",,22.48,2.422,0.9434,27.49,211.05,40.56,9.56
"2019 UK12",,25.80,0.9218,0.1254,5.53,35.67,170.69,135.66
"2019 UL12",,25.90,1.869,0.4916,1.75,43.17,312.80,12.17
"2019 UM12",,24.65,2.192,0.6119,7.62,44.44,52.73,298.44
"2019 UN12",,21.86,2.256,0.8462,5.19,222.54,301.80,264.59
"2019 UQ12",,23.80,2.491,0.5877,6.73,195.47,222.46,189.09
"2019 UR12",,24.14,1.326,0.2411,10.10,39.62,343.22,356.36
"2019 US12",,20.03,1.722,0.4944,11.24,351.67,166.31,185.29
"2019 UT12",,22.30,1.35,0.3554,8.53,320.85,178.05,242.18
"2019 UX12",,28.70,1.015,0.2675,8.61,212.94,77.72,48.07
"2019 UD13",,23.50,1.258,0.1832,43.86,39.07,346.57,7.76
"2019 UE13",,25.75,0.8043,0.3607,7.45,216.70,333.35,16.84
"2019 UJ13",,19.81,3.178,0.5948,4.52,138.92,336.44,358.39
"2019 UK13",,24.71,1.265,0.1637,3.91,252.88,135.85,99.49
"2019 UL13",,21.10,1.118,0.1896,21.54,61.05,216.19,158.12
"2019 UM13",,26.73,1.37,0.2983,2.42,62.41,17.54,337.37
"2019 UN13",,32.00,1.45,0.4216,1.50,217.43,241.93,143.90
"2019 UO13",,23.82,2.157,0.5564,1.79,23.12,345.41,335.18
"2019 UP13",,23.45,0.9341,0.5119,15.81,220.24,49.61,328.38
"2019 UU13",,19.21,2.551,0.8674,57.57,69.10,190.92,203.34
"2019 UV13",,20.77,1.779,0.5893,7.93,68.19,231.51,224.76
"2019 UW13",,25.80,1.202,0.3013,17.29,214.30,102.58,47.61
"2019 UX13",,21.41,1.519,0.3272,12.49,188.56,155.20,119.89
"2019 UY13",,23.46,1.654,0.5379,32.91,47.66,80.84,328.67
"2019 UZ13",,21.24,2.384,0.5788,13.13,70.60,330.02,234.07
"2019 UA14",,18.80,3.754,0.6607,72.04,223.92,284.65,281.25
"2019 UB14",,26.00,2.136,0.6345,3.35,224.85,249.05,343.90
"2019 UC14",,23.33,2.106,0.6710,1.93,52.40,74.18,332.55
"2019 UD14",,20.67,1.654,0.6204,6.65,352.01,184.02,272.31
"2019 UF14",,21.80,1.267,0.3371,26.15,48.79,219.86,83.90
"2019 UH14",,23.59,1.164,0.2362,14.50,207.13,108.51,358.50
"2019 UN14",,20.80,1.752,0.3185,32.54,48.23,52.17,180.09
"2019 UP14",,19.41,1.958,0.6162,10.58,331.78,203.99,49.19
"2019 UQ14",,20.59,2.412,0.7665,36.65,63.33,223.21,243.88
"2019 UR14",,22.70,1.809,0.3127,14.38,217.35,225.93,154.27
"2019 US14",,22.10,1.891,0.7240,7.50,102.23,52.65,92.92
"2019 UE15",,20.11,1.836,0.2983,28.03,9.01,146.39,73.08
"2019 UJ15",,19.50,2.299,0.5599,26.38,258.09,207.76,243.98
"2019 UL130",,25.78,0.9804,0.3219,3.15,53.08,113.29,269.39
"2019 UK176",,25.80,1.61,0.4782,20.39,37.82,296.91,21.43
"2019 VA",,28.40,2.159,0.5522,2.03,220.44,200.76,321.32
"2019 VC",,28.80,1.35,0.2630,1.45,217.75,169.66,316.17
"2019 VD",,27.40,2.634,0.6581,0.36,229.18,211.66,142.93
"2019 VH",,27.70,1.942,0.4964,5.42,211.57,160.78,7.68
"2019 VJ",,24.70,1.448,0.3648,10.59,47.69,286.26,31.08
"2019 VK",,24.63,2.167,0.5455,2.25,255.98,177.04,313.85
"2019 VL",,24.60,1.23,0.1969,30.37,40.52,55.05,319.21
"2019 VN",,24.90,2.022,0.5941,4.64,43.21,63.16,21.23
"2019 VR",,28.10,1.078,0.2464,12.15,221.19,265.57,86.30
"2019 VS",,24.20,1.49,0.4748,1.83,264.65,55.61,148.05
"2019 VT",,24.45,0.8763,0.6143,4.55,17.69,241.09,72.46
"2019 VU",,27.30,1.074,0.4976,5.98,39.87,114.73,101.39
"2019 VV",,25.33,0.9393,0.2961,0.32,252.20,29.36,319.56
"2019 VW",,26.75,0.8801,0.1482,5.22,219.41,14.69,278.58
"2019 VX",,25.29,2.353,0.6075,3.97,238.94,207.06,233.98
"2019 VY",,26.10,1.434,0.3917,3.20,16.89,319.23,28.56
"2019 VZ",,26.74,1.237,0.2211,4.38,30.96,327.02,169.09
"2019 VA1",,27.50,1.062,0.3516,2.87,217.99,79.96,250.62
"2019 VD1",,23.33,1.435,0.2632,19.68,232.21,239.59,143.71
"2019 VE1",,19.00,2.664,0.6508,15.82,353.84,167.08,108.05
"2019 VF1",,23.00,1.45,0.5719,12.62,241.80,269.60,126.00
"2019 VM1",,26.40,1.464,0.3083,8.46,49.67,1.20,355.24
"2019 VO1",,21.99,1.219,0.3375,12.56,237.91,283.94,99.05
"2019 VQ1",,23.10,1.755,0.7166,8.41,255.24,247.89,193.48
"2019 VR1",,27.00,2.837,0.6563,3.33,228.81,192.24,92.18
"2019 VW1",,25.70,2.127,0.5373,2.17,239.34,196.24,333.04
"2019 VX1",,22.01,2.069,0.6583,9.42,327.17,158.43,347.30
"2019 VY1",,22.00,1.926,0.5879,7.55,345.63,335.14,20.27
"2019 VZ1",,23.40,1.62,0.6672,29.69,48.45,250.29,26.58
"2019 VA2",,28.50,1.17,0.1952,4.12,38.07,308.13,319.45
"2019 VD2",,21.31,1.972,0.7355,33.49,38.76,257.12,84.03
"2019 VE2",,27.40,1.422,0.2979,5.16,225.71,196.83,192.39
"2019 VG2",,19.80,2.773,0.8334,9.72,313.24,315.80,24.56
"2019 VH2",,28.80,1.643,0.4470,8.99,39.92,313.48,17.12
"2019 VJ2",,26.10,0.8649,0.3319,5.43,227.93,31.97,301.06
"2019 VK2",,24.76,1.223,0.1805,15.14,32.72,330.90,24.37
"2019 VM2",,26.90,1.268,0.2391,26.29,220.88,144.09,21.97
"2019 VN2",,26.80,1.499,0.3170,1.51,350.82,59.88,101.44
